gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1,2112,3584,14,0,5.0557,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,2.99,749.79,0.0
gfx950,256,2,2112,3584,14,0,5.0486,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,6.0,752.04,0.0
gfx950,256,4,2112,3584,14,0,5.5623,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,10.89,684.75,0.0
gfx950,256,8,2112,3584,14,0,5.1903,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,23.33,738.46,0.0
gfx950,256,16,2112,3584,14,0,5.3615,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,45.18,723.86,0.0
gfx950,256,32,2112,3584,14,0,5.2246,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,92.72,761.25,0.0
gfx950,256,64,2112,3584,14,0,5.0302,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,192.61,828.94,0.0
gfx950,256,128,2112,3584,14,0,4.911,a4w4_blockscale_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x16x1x16_8_2x2_intrawave_v3,394.58,927.46,0.0
gfx950,256,256,2112,3584,29,0,6.747,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,574.41,789.21,0.0
gfx950,256,512,2112,3584,37,0,8.845,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,876.32,776.13,0.0
