M,N,K
1,7168,4608
2,7168,4608
4,7168,4608
8,7168,4608
16,7168,4608
32,7168,4608
64,7168,4608
128,7168,4608
256,7168,4608
512,7168,4608
1024,7168,4608
2048,7168,4608
4096,7168,4608
8192,7168,4608
16384,7168,4608
1,9216,7168
2,9216,7168
4,9216,7168
8,9216,7168
16,9216,7168
32,9216,7168
64,9216,7168
128,9216,7168
256,9216,7168
512,9216,7168
1024,9216,7168
2048,9216,7168
4096,9216,7168
8192,9216,7168
16384,9216,7168
1,2112,3584
2,2112,3584
4,2112,3584
8,2112,3584
16,2112,3584
32,2112,3584
64,2112,3584
128,2112,3584
256,2112,3584
512,2112,3584
1024,2112,3584
2048,2112,3584
4096,2112,3584
8192,2112,3584
16384,2112,3584
1,7168,1024
2,7168,1024
4,7168,1024
8,7168,1024
16,7168,1024
32,7168,1024
64,7168,1024
128,7168,1024
256,7168,1024
512,7168,1024
1024,7168,1024
2048,7168,1024
4096,7168,1024
8192,7168,1024
16384,7168,1024
1,3072,768
2,3072,768
4,3072,768
8,3072,768
16,3072,768
32,3072,768
64,3072,768
128,3072,768
256,3072,768
512,3072,768
1024,3072,768
2048,3072,768
4096,3072,768
8192,3072,768
16384,3072,768
