gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,686,15,4.2178,flydsl_gemm2_abf16_wbf16_bf16_t16x32x192_split_k15_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_small_m_wpe4_gfx950,0.0156,0.17,176.23
gfx950,256,2,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,686,15,4.3068,flydsl_gemm2_abf16_wbf16_bf16_t16x32x192_split_k15_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_small_m_wpe4_gfx950,0.0234,0.34,173.98
gfx950,256,4,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,675,15,4.2346,flydsl_gemm2_abf16_wbf16_bf16_t16x32x192_split_k15_block_m_warp1_block_n_warp1_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_small_m_gfx950,0.0332,0.7,179.79
gfx950,256,8,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,684,15,4.4391,flydsl_gemm2_abf16_wbf16_bf16_t16x32x192_split_k15_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_small_m_gfx950,0.0264,1.33,176.93
gfx950,256,16,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,936,15,4.4164,flydsl_gemm2_abf16_wbf16_bf16_t16x32x64_split_k15_block_m_warp1_block_n_warp2_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_small_m_gfx950,0.0244,2.67,188.74
gfx950,256,32,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,75,15,4.6431,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k15_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0249,5.08,200.25
gfx950,256,48,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,75,15,4.6231,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k15_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0251,7.65,221.94
gfx950,256,64,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,311,15,4.6492,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k15_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0223,10.15,241.4
gfx950,256,80,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,398,15,4.9066,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k15_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsFalse_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0239,12.02,248.35
gfx950,256,96,128,2880,True,torch.bfloat16,torch.bfloat16,False,False,flydsl,600,15,5.0682,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k15_block_m_warp1_block_n_warp4_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0245,13.97,259.42
