cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,1,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,17.9764,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,16.349,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,5.6%,34.3254,0,0,6.6,105574.53,
256,2,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.2985,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,17.9962,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,4.6%,39.2947,0,0,11.53,92223.56,
256,4,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,33.4534,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,21.3105,moe_ck2stages_gemm2_256x32x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,5.3%,54.7639,0,0,16.54,66173.44,
256,8,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,54.0962,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,31.7006,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,4.7%,85.7968,0,0,21.12,42238.78,
256,16,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,86.9239,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,49.0252,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2_persist,4.9%,135.9491,0,0,26.66,26657.23,
256,32,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,142.9912,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,76.2554,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2_persist,3.2%,219.2466,0,0,33.06,16530.12,
256,64,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,181.6341,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,96.2726,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,5.1%,277.9067,0,0,52.16,13042.03,
256,128,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,197.5916,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,104.3721,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2,5.0%,301.9637,0,0,96.01,12004.95,
256,256,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,208.4462,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,109.1431,flydsl_moe2_afp4_wfp4_bf16_t32x256x256_atomic_bnt2_persist,5.0%,317.5893,0,0,182.57,11418.01,
256,512,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,215.3665,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,109.5792,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,5.1%,324.9457,0,0,356.87,11166.78,
256,1024,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,210.5391,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.8%,116.7743,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2,5.1%,327.3134,0,0,708.58,11100.42,
256,2048,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,289.0776,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0,0.0%,151.789,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,5.0%,440.8666,0,0,1052.15,8262.71,
256,4096,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,404.0325,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0,0.0%,210.7843,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,5.1%,614.8168,0,0,1508.93,5955.64,
256,8192,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,610.4766,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0,0.0%,386.6874,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,5.0%,997.164,0,0,1860.7,3709.9,
256,16384,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1073.8325,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0,0.0%,721.6577,moe_ck2stages_gemm2_256x64x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,5.1%,1795.4902,0,0,2066.76,2102.42,
256,32768,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2032.0615,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_swiglu_FP4X2_FP4X2_B16,0.0%,1391.8522,moe_ck2stages_gemm2_256x128x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,5.0%,3423.9137,0,0,2167.61,1146.6,
256,4096,3072,3072,128,4,ActivationType.Swiglu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,409.6692,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_swiglu_FP4X2_FP4X2_B16,0.0,237.3697,moe_ck2stages_gemm2_256x128x128x128_1x4_MulABScaleExpertWeightShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight1_FP4X2_FP4X2_B16,0.0505,647.0389,0,0,0.0,0.0,flydsl_fallback
