cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,stages,splitK,us,kernelName,err_ratio,tflops,bw
256,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,256,32,64,1,-1,11,9.1085,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,4.84,617.65
256,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,256,32,64,1,-1,14,9.0291,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0327,9.76,636.46
256,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,256,32,64,1,-1,14,9.1515,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.031,14.44,641.15
256,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,256,32,64,1,-1,14,9.1898,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0295,19.17,651.63
256,40,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,14,9.3371,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0281,23.58,654.29
256,48,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,14,9.3663,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0297,28.21,665.15
256,56,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,16,9.7235,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0282,31.7,653.14
256,64,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,14,9.6229,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.028,36.61,672.53
256,72,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,7,256,80,64,1,-1,14,9.8399,_ZN5aiter39bf16gemm_fp32bf16_tn_80x64_splitk_cleanE,0.029,40.28,669.98
256,80,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,256,96,64,1,-1,14,9.8919,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0282,44.52,678.67
256,88,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,256,96,64,1,-1,14,10.1146,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0286,47.9,675.67
256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,8,256,96,64,1,-1,16,10.4387,_ZN5aiter39bf16gemm_fp32bf16_tn_96x64_splitk_cleanE,0.0307,50.63,666.27
256,240,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,13.8548,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0183,95.36,658.98
256,248,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,7,13.8532,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0202,98.55,667.77
256,264,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,13.9183,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0186,104.42,682.01
256,272,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,14.0096,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0184,106.88,686.19
256,280,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,14.1257,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0183,109.12,689.11
256,288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,14.1052,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0186,112.4,698.68
256,296,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,6,14.2077,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.0186,114.69,702.14
256,304,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,5,256,64,64,1,-1,7,14.2396,_ZN5aiter39bf16gemm_fp32bf16_tn_64x64_splitk_cleanE,0.02,117.53,709.05
256,312,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,256,48,64,1,-1,6,14.3559,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0191,119.64,711.73
