cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,tile_k,tile_m,tile_n,pack,splitK,us,kernelName,err_ratio,tflops,bw
256,1,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.179,hgemm_bf16_16x64x128_S2TN_BP,0.0,1.0,1005.87
256,1,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.419,hgemm_bf16_16x64x128_S2TN_BP,0.0,1.66,1664.49
256,1,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,9.379,hgemm_bf16_16x64x128_S2TN_BP,0.0,3.13,3132.38
256,2,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,7.119,hgemm_bf16_16x64x128_S2TN_BP,0.0,2.65,1328.22
256,2,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.439,hgemm_bf16_16x64x128_S2TN_BP,0.0,1.89,949.03
256,2,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.499,hgemm_bf16_16x64x128_S2TN_BP,0.0,3.26,1638.31
256,2,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,9.959,hgemm_bf16_16x64x128_S2TN_BP,0.0,5.9,2951.8
256,4,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,7.0595,hgemm_bf16_16x64x128_S2TN_BP,0.0,5.35,1342.03
256,4,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,3.839,hgemm_bf16_16x64x128_S2TN_BP,0.0,4.37,1102.15
256,4,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.359,hgemm_bf16_16x64x128_S2TN_BP,0.0,6.74,1697.97
256,4,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,9.499,hgemm_bf16_16x64x128_S2TN_BP,0.0,12.36,3098.63
256,8,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,7.239,hgemm_bf16_16x64x128_S2TN_BP,0.0,10.43,1313.84
256,8,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,3.979,hgemm_bf16_16x64x128_S2TN_BP,0.0,8.43,1072.64
256,8,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,4.079,hgemm_bf16_16x64x128_S2TN_BP,0.0,14.4,1829.59
256,8,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,9.439,hgemm_bf16_16x64x128_S2TN_BP,0.0,24.88,3126.13
256,16,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,4.0795,hgemm_bf16_32x64x128_S2TN_BP,0.0,16.45,1064.29
256,16,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,4.779,hgemm_bf16_32x64x128_S2TN_BP,0.0,24.57,1587.32
256,16,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,10.939,hgemm_bf16_48x64x128_S2TN_BP,0.0,42.94,2710.95
256,24,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,8.039,hgemm_bf16_16x64x128_S2TN_BP,0.0,28.17,1201.44
256,24,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,3.499,hgemm_bf16_16x64x128_S2TN_BP,0.0,28.77,1261.93
256,24,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,4.739,hgemm_bf16_32x64x128_S2TN_BP,0.0,37.17,1626.65
256,32,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,4.499,hgemm_bf16_48x64x128_S2TN_BP,0.0,29.83,997.83
256,32,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,4,64,48,64,1,1,5.739,hgemm_bf16_48x64x64_S2TN_BP,0.0,40.93,1364.62
256,40,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,8.419,hgemm_bf16_16x64x128_S2TN_BP,0.0,44.84,1164.73
256,40,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,3.979,hgemm_bf16_32x64x128_S2TN_BP,0.0,42.16,1146.76
256,40,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.019,hgemm_bf16_48x64x128_S2TN_BP,0.0,58.5,1584.86
256,48,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,4.039,hgemm_bf16_32x64x128_S2TN_BP,0.0,49.85,1147.98
256,48,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,4.779,hgemm_bf16_64x64x128_S2TN_BP,0.0,73.72,1690.17
256,56,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,16,128,16,64,1,1,8.679,hgemm_bf16_16x64x128_S2TN_BP,0.0,60.89,1146.82
256,56,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,4.599,hgemm_bf16_32x64x128_S2TN_BP,0.0,51.07,1024.22
256,56,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,19,128,32,64,1,1,5.539,hgemm_bf16_32x64x128_S2TN_BP,0.0,74.21,1480.45
256,64,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,4.539,hgemm_bf16_48x64x128_S2TN_BP,0.0,59.14,1054.0
256,64,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,6.3623,hgemm_bf16_48x64x128_S2TN_BP,0.0,73.84,1308.19
256,72,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.4282,hgemm_bf16_48x64x128_S2TN_BP,0.0,55.63,894.93
256,72,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.4395,hgemm_bf16_48x64x128_S2TN_BP,0.0,97.16,1552.71
256,80,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.039,hgemm_bf16_48x64x128_S2TN_BP,0.0,66.59,978.68
256,80,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.6395,hgemm_bf16_48x64x128_S2TN_BP,0.0,104.12,1519.43
256,88,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,9.019,hgemm_bf16_48x64x128_S2TN_BP,0.0,92.08,1136.29
256,88,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,4.279,hgemm_bf16_48x64x128_S2TN_BP,0.0,86.26,1169.74
256,88,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.319,hgemm_bf16_48x64x128_S2TN_BP,0.0,121.44,1634.09
256,88,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,12.999,hgemm_bf16_48x64x128_S2TN_BP,0.0,198.76,2383.43
256,96,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,5.679,hgemm_bf16_64x64x128_S2TN_BP,0.0,70.9,894.35
256,96,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,6.239,hgemm_bf16_64x64x128_S2TN_BP,0.0,112.94,1412.82
256,104,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,5.339,hgemm_bf16_48x64x128_S2TN_BP,0.0,81.7,965.12
256,104,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,6.419,hgemm_bf16_64x64x128_S2TN_BP,0.0,118.92,1392.35
256,104,7168,2048,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,13.5995,hgemm_bf16_64x64x128_S2TN_BP,0.0,224.53,2299.87
256,112,4096,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,4.959,hgemm_bf16_48x64x128_S2TN_BP,0.0,94.73,1053.94
256,112,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,6.279,hgemm_bf16_64x64x128_S2TN_BP,0.0,130.93,1442.96
256,120,3072,1536,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,22,128,48,64,1,1,9.7395,hgemm_bf16_48x64x128_S2TN_BP,0.0,116.28,1082.51
256,120,7168,512,False,torch.bfloat16,torch.bfloat16,False,True,flydsl,25,128,64,64,1,1,6.259,hgemm_bf16_64x64x128_S2TN_BP,0.0,140.73,1467.2
