gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,15.0440,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w2_gui_kw4_fp8,0.02%,8.3976,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16,0.00%,23.4416,0,0,0,6.04,77900.47
gfx950,256,2,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,20.2445,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w4_gui_kw4_fp8,0.02%,15.8246,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16,0.00%,36.0691,0,0,0,7.85,50628.70
gfx950,256,4,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,32.3383,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w2_gui_kw4_fp8,0.03%,22.5419,flydsl_moe2_layout_afp8_wfp8_bf16_t16x256x256_atomic_nt_sbm16,0.00%,54.8802,0,0,0,10.32,33275.54
gfx950,256,8,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,61.2469,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_gui_kw4_fp8,0.02%,37.1189,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16_f32lds,0.00%,98.3658,0,0,0,11.51,18565.83
gfx950,256,16,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,119.5806,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_gui_kw4_fp8,0.03%,64.6619,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16,0.00%,184.2425,0,0,0,12.29,9912.97
gfx950,256,32,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,191.3174,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_gui_kw4_fp8,0.03%,99.9459,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16_f32lds,0.00%,291.2633,0,0,0,15.55,6271.59
gfx950,256,64,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,16,0,191.8415,flydsl_moe1_afp8_wfp8_bf16_t16x64x256_w3_gui_kw4_fp8,0.03%,102.1453,flydsl_moe2_layout_afp8_wfp8_bf16_t16x128x256_atomic_nt_sbm16,0.00%,293.9868,0,0,0,30.82,6215.50
gfx950,256,128,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,194.1156,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,105.1905,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,299.3061,0,0,0,60.54,6108.98
gfx950,256,256,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,194.7306,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w4_gui_kw2_fp8,0.0%,109.0034,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,303.734,0,0,0,119.31,6027.69
gfx950,256,512,6144,768,129,5,ActivationType.Swiglu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,198.3264,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_gui_kw2_fp8,0.0%,113.7183,flydsl_moe2_layout_afp8_wfp8_bf16_t32x128x256_atomic_nt_sbm32,0.0%,312.0447,0,0,0,232.27,5882.27
